Contingency,Converged,FromBus#,ToBus#,CKT,Pij(MW),Qij(MVAr),Sij(MVA),Pji(MW),Qji(MVAr),Sji(MVA),RateA,Ploss(MW),Qloss(MVAr),Loading_%,Violation,Current(A),Tcond(degC),lat_mid,lon_mid,bearing_deg,length_km,weather_site_id,weather_site_distance_km,weather_site_elevation_m,air_temperature,ghi,surface_pressure,surface_pressure_pa,wind_direction,wind_speed,wind_conductor_angle_deg,Tcond_realweather(degC),Ampacity_at_75C(A),Loading_realweather_%
LT_101-102_A1,True,101.0,103.0,A2,70.836464,-0.624489,70.839218,-67.862502,12.03369,68.921178,175.0,2.973962,11.409201,40.48,False,307.52937304137447,51.26172065734863,33.4664680426,-114.25302055200001,281.65513948457516,78.99713734402492,272693,27.889914770408065,91.0,43.29999923706055,830.0,1002.0,100200.0,122.0,3.200000047683716,20.34486051542484,53.19131149128225,892.3115504992188,34.464349684739815
LT_101-102_A1,True,101.0,105.0,A3,100.874557,-11.179005,101.492096,-98.43993,20.585521,100.569297,175.0,2.434628,9.406516,58.0,False,440.6005816091164,55.67008018493652,33.527831551000006,-113.917332536,332.7077807708397,32.97810897483768,272693,55.37740896846629,91.0,43.29999923706055,830.0,1002.0,100200.0,122.0,3.200000047683716,149.2922192291603,54.807732243098144,963.4977724943705,45.72927869552399
LT_101-102_A1,True,102.0,104.0,A4,64.102921,5.699685,64.355812,-62.626678,-0.018389,62.626681,175.0,1.476242,5.681296,36.77,False,279.13114493587227,50.51701545715332,33.58499098295,-113.82567627200001,0.053868993317280456,50.552094829892674,273508,61.87228040205209,89.0,43.20000076293945,832.0,999.0,99900.0,122.0,3.0,121.94613100668272,50.50305173086963,1041.5330631958345,26.80002726743861
LT_101-102_A1,True,102.0,106.0,A5,60.407902,-8.937335,61.06546,-58.424068,16.555258,60.724363,175.0,1.983834,7.617923,34.89,False,264.85986636041065,50.169267654418945,33.54785744425,-114.003928834,322.14286051780334,53.63905217588826,272693,47.56965144659038,91.0,43.29999923706055,830.0,1002.0,100200.0,122.0,3.200000047683716,159.85713948219666,52.44696944751922,890.7119722186746,29.73574787601329
LT_101-102_A1,True,103.0,109.0,A6,-24.746803,-6.001456,25.464127,24.973119,6.870216,25.900899,175.0,0.226316,0.86876,14.55,False,114.34844103953512,47.59888648986816,33.72863454765,-114.48934004450001,38.03489934721705,54.229833774295344,273508,0.9566740748851706,89.0,43.20000076293945,832.0,999.0,99900.0,122.0,3.0,83.96510065278295,48.57187498018175,1078.7158164828188,10.600423141321057
LT_101-102_A1,True,103.0,124.0,A7,-61.205627,-32.528988,69.31279,61.316325,37.178298,71.707166,400.0,0.110698,4.64931,17.33,False,311.25392520233197,51.364240646362305,33.53989894155,-114.6634437025,62.122581397062504,1.4584863725043906,270245,1.1363138040058882,75.0,43.5,835.0,1001.0,100100.0,122.0,3.200000047683716,59.877418602937496,50.99332904815674,1059.3326668731872,29.38207561568496
LT_101-102_A1,True,104.0,109.0,A8,-0.608357,-9.726361,9.745368,0.630696,9.812409,9.832657,175.0,0.022339,0.086048,5.57,False,43.52905873391757,47.09284782409668,33.8663698982,-114.066850007,285.22792751338363,46.175372092212655,277498,39.42199663193729,151.0,42.29999923706055,833.0,989.0,98900.0,107.0,2.5999999046325684,1.7720724866163664,53.07663940573548,681.7502693611173,6.384897914995998
LT_101-102_A1,True,105.0,110.0,A9,37.768482,-30.434265,48.504669,-37.190391,32.646091,49.486286,175.0,0.578091,2.211826,27.72,False,212.7183195486174,49.05056953430176,33.786176454599996,-114.14599382399999,316.1102545640957,39.125724159032,273508,31.981051974502726,89.0,43.20000076293945,832.0,999.0,99900.0,122.0,3.0,165.88974543590427,52.68745876626781,823.750016524775,25.823164222324444
LT_101-102_A1,True,106.0,110.0,10,-57.791664,-126.761391,139.313766,58.338772,129.145216,141.710618,175.0,0.547108,2.383826,79.61,False,610.7673585816057,63.41731071472168,33.82541475805,-114.23744436449999,332.2035219612036,21.973081610449327,273508,25.547898565618038,89.0,43.20000076293945,832.0,999.0,99900.0,122.0,3.0,149.7964780387964,60.272534116702445,942.7859993722285,64.78324444659725
LT_101-102_A1,True,107.0,108.0,11,89.924423,21.035666,92.352051,-88.451278,-15.419302,89.785208,175.0,1.473145,5.616364,52.77,False,400.64715658834615,54.1896915435791,34.57823637615,-113.7314761945,191.80450991680215,27.040331428742554,280694,48.23352083597048,170.0,42.0,826.0,991.0,99100.0,137.0,2.5,125.19549008319785,52.328033447265625,1000.8290183522827,40.03152878680042
LT_101-102_A1,True,107.0,203.0,B1,158.259613,-1.244797,158.264511,-146.94835,44.604641,153.56885,175.0,11.311263,43.359844,90.44,False,686.5925080645477,67.58454322814941,35.0258321095,-113.838621218,341.18656177700467,77.23111035384919,273483,67.12170109617558,151.0,42.5,838.0,987.0,98700.0,137.0,3.0999999046325684,155.81343822299533,63.55245113372803,921.2724485667935,74.526543058209
LT_101-102_A1,True,108.0,109.0,1,-27.82576,0.863594,27.839161,28.20879,0.606174,28.215303,175.0,0.38303,1.469768,15.91,False,124.28019304370436,47.70632743835449,34.18982353435,-114.034962272,220.15903880363092,78.21129921512714,280694,14.468759995973627,170.0,42.0,826.0,991.0,99100.0,137.0,2.5,96.84096119636908,47.953704833984375,1040.9841760538727,11.9387206743931
LT_101-102_A1,True,108.0,110.0,2,-29.847162,-13.815769,32.889645,30.351953,15.752755,34.19635,175.0,0.50479,1.936986,18.79,False,146.82667447265766,47.98190116882324,34.1860019329,-114.0273040675,218.96149073017423,77.97500234740549,280694,15.230903469254052,170.0,42.0,826.0,991.0,99100.0,137.0,2.5,98.03850926982577,48.131439208984375,1038.9794720378793,14.131816693612654
LT_101-102_A1,True,109.0,111.0,14,-78.828011,-13.241832,79.932472,78.970719,19.235581,81.279653,400.0,0.142708,5.993749,19.98,False,353.40273816646027,52.611703872680664,33.91241117325,-114.304699342,159.67425780531744,1.9031858797390406,273502,18.441799885429408,97.0,42.79999923706055,833.0,991.0,99100.0,107.0,2.700000047683716,127.32574219468256,51.920090518200595,1003.6141417602157,35.21300901027912
