FromBus#,ToBus#,CKT,Pij(MW),Qij(MVAr),Sij(MVA),Pji(MW),Qji(MVAr),Sji(MVA),RateA,Ploss(MW),Qloss(MVAr),Current(A),Tcond(degC),lat_mid,lon_mid,bearing_deg,length_km,weather_site_id,weather_site_distance_km,weather_site_elevation_m,air_temperature,ghi,surface_pressure,surface_pressure_pa,wind_direction,wind_speed,wind_conductor_angle_deg,Tcond_realweather(degC),Ampacity_at_75C(A),Loading_realweather_%
101,102,A1,16.118469,-30.832771,34.791737,-16.107208,30.885326,34.833109,175.0,0.011262,0.052555,151.03894945071795,48.0393123626709,33.3768908526,-113.8307877345,168.0832196909272,4.366718050928278,272693,66.37854754514882,91.0,43.29999923706055,830.0,1002.0,100200.0,122.0,3.200000047683716,133.9167803090728,49.30480520557467,1032.0736797745278,14.634512284405384
101,103,A2,64.531761,-0.258112,64.53228,-62.062258,9.732024,62.820666,175.0,2.469503,9.473912,280.1495014997261,50.54244041442871,33.4664680426,-114.25302055200001,281.65513948457516,78.99713734402492,272693,27.889914770408065,91.0,43.29999923706055,830.0,1002.0,100200.0,122.0,3.200000047683716,20.34486051542484,52.68430732376146,892.3115504992188,31.39592907241778
101,105,A3,91.060791,-10.394358,91.652122,-89.075965,18.063005,90.888941,175.0,1.984826,7.668647,397.882986463396,54.092092514038086,33.527831551000006,-113.917332536,332.7077807708397,32.97810897483768,272693,55.37740896846629,91.0,43.29999923706055,830.0,1002.0,100200.0,122.0,3.200000047683716,149.2922192291603,53.814224854177155,963.4977724943705,41.29568306456264
102,104,A4,72.045235,4.843105,72.20784,-70.189632,2.298156,70.227245,175.0,1.855603,7.141261,313.18782913571624,51.41837120056152,33.58499098295,-113.82567627200001,0.053868993317280456,50.552094829892674,273508,61.87228040205209,89.0,43.20000076293945,832.0,999.0,99900.0,122.0,3.0,121.94613100668272,51.000045747590775,1041.5330631958345,30.069888340820633
102,106,A5,68.572792,-9.723141,69.258698,-66.017188,19.536661,68.847296,175.0,2.555604,9.81352,300.3964843067756,51.06734275817871,33.54785744425,-114.003928834,322.14286051780334,53.63905217588826,272693,47.56965144659038,91.0,43.29999923706055,830.0,1002.0,100200.0,122.0,3.200000047683716,159.85713948219666,53.08249877725757,890.7119722186746,33.725434672054305
103,109,A6,-28.437197,-4.382089,28.772848,28.728861,5.501704,29.250918,175.0,0.291665,1.119616,129.13002582095044,47.76127815246582,33.72863454765,-114.48934004450001,38.03489934721705,54.229833774295344,273508,0.9566740748851706,89.0,43.20000076293945,832.0,999.0,99900.0,122.0,3.0,83.96510065278295,48.65549619569356,1078.7158164828188,11.970717759750874
103,124,A7,-63.315479,-31.843821,70.872269,63.431077,36.698943,73.282426,400.0,0.115598,4.855123,318.06854594162337,51.55533790588379,33.53989894155,-114.6634437025,62.122581397062504,1.4584863725043906,270245,1.1363138040058882,75.0,43.5,835.0,1001.0,100100.0,122.0,3.200000047683716,59.877418602937496,51.09494686126709,1059.3326668731872,30.02536935639495
104,109,A8,6.954603,-12.044754,13.908364,-6.903638,12.241062,14.053605,175.0,0.050965,0.196308,62.16218476944483,47.18142509460449,33.8663698982,-114.066850007,285.22792751338363,46.175372092212655,277498,39.42199663193729,151.0,42.29999923706055,833.0,989.0,98900.0,107.0,2.5999999046325684,1.7720724866163664,53.17171692073316,681.7502693611173,9.118028633519769
105,110,A9,28.404516,-27.910128,39.821999,-28.019469,29.383352,40.60138,175.0,0.385047,1.473224,174.5053263942401,48.38377952575683,33.786176454599996,-114.14599382399999,316.1102545640957,39.125724159032,273508,31.981051974502726,89.0,43.20000076293945,832.0,999.0,99900.0,122.0,3.0,165.88974543590427,52.156542935706966,823.750016524775,21.18425771090612
106,110,10,-50.198544,-129.67984,139.056671,50.634921,131.581198,140.987612,175.0,0.436377,1.901358,609.8565941052912,63.369741439819336,33.82541475805,-114.23744436449999,332.2035219612036,21.973081610449327,273508,25.547898565618038,89.0,43.20000076293945,832.0,999.0,99900.0,122.0,3.0,149.7964780387964,60.24097894103761,942.7859993722285,64.68664092502173
107,108,11,90.656624,20.832399,93.019417,-89.162251,-15.135102,90.437704,175.0,1.494373,5.697297,403.5423634344154,54.29221153259277,34.57823637615,-113.7314761945,191.80450991680215,27.040331428742554,280694,48.23352083597048,170.0,42.0,826.0,991.0,99100.0,137.0,2.5,125.19549008319785,52.391510009765625,1000.8290183522827,40.32080965226092
107,203,B1,157.527435,-4.418684,157.589401,-146.318338,47.386889,153.800434,175.0,11.209097,42.968204,683.6637057374143,67.41641044616699,35.0258321095,-113.838621218,341.18656177700467,77.23111035384919,273483,67.12170109617558,151.0,42.5,838.0,987.0,98700.0,137.0,3.0999999046325684,155.81343822299533,63.43371868133545,921.2724485667935,74.20863467706836
108,109,1,-27.930403,0.984952,27.947765,28.316606,0.496989,28.320967,175.0,0.386203,1.481941,124.7603003357548,47.71124839782715,34.18982353435,-114.034962272,220.15903880363092,78.21129921512714,280694,14.468759995973627,170.0,42.0,826.0,991.0,99100.0,137.0,2.5,96.84096119636908,47.956878662109375,1040.9841760538727,11.98484119217757
108,110,2,-29.031542,-14.22121,32.327591,29.517563,16.086174,33.616238,175.0,0.486021,1.864963,144.31207512627373,47.94909477233887,34.1860019329,-114.0273040675,218.96149073017423,77.97500234740549,280694,15.230903469254052,170.0,42.0,826.0,991.0,99100.0,137.0,2.5,98.03850926982577,48.112396240234375,1038.9794720378793,13.889790800507015
109,111,14,-77.000252,-13.672602,78.20472,77.136891,19.411469,79.541845,400.0,0.13664,5.738867,345.8069609229029,52.37549781799317,33.91241117325,-114.304699342,159.67425780531744,1.9031858797390406,273502,18.441799885429408,97.0,42.79999923706055,833.0,991.0,99100.0,107.0,2.700000047683716,127.32574219468256,51.77939837901067,1003.6141417602157,34.45616662160619
109,112,15,-122.683884,-26.036924,125.416336,123.035298,40.796316,129.622621,400.0,0.351414,14.759392,554.5680874791911,60.60662269592285,33.9156511436,-114.31084169450001,203.947168667828,1.1643839227143522,273502,17.80785802409589,97.0,42.79999923706055,833.0,991.0,99100.0,107.0,2.700000047683716,83.05283133217199,55.74565205572435,1048.6219145928005,52.885418448892544
110,111,16,-85.847649,17.914474,87.696907,86.010072,-11.092694,86.722433,400.0,0.162423,6.821781,377.02446773574326,53.37691307067871,33.9085895718,-114.2970411375,218.83185834528146,1.199999298332487,273502,19.225322946508676,97.0,42.79999923706055,833.0,991.0,99100.0,107.0,2.700000047683716,68.16814165471854,51.995179019453644,1028.404391386048,36.661110249403215
110,112,17,-132.918228,5.510977,133.032425,133.29199,10.187019,133.680702,400.0,0.373762,15.697996,571.9298541192586,61.44892692565918,33.91182954215,-114.30318349000001,263.52385649728956,1.8981503306103409,273502,18.59008452775047,97.0,42.79999923706055,833.0,991.0,99100.0,107.0,2.700000047683716,23.476143502710443,60.73469016003219,875.7842274815599,65.30488174740518
111,113,18,-255.675369,6.794699,255.765625,259.919131,27.155394,261.333829,500.0,4.243762,33.950092,667.1623489472164,66.47650718688965,34.1293332045,-114.287887337,2.7798809616962217,50.08528154115857,277498,4.623035951639475,151.0,42.29999923706055,833.0,989.0,98900.0,107.0,2.5999999046325684,104.22011903830378,59.19408518321143,1034.9994403027815,64.46016519120464
111,114,19,92.528412,-15.113473,93.754593,-92.059584,19.051627,94.010273,500.0,0.468828,3.938154,244.5580186566129,49.70505714416504,33.84073608285,-114.56051449450001,253.6860893720658,49.96150226236739,271871,2.0077707949584878,269.0,42.599998474121094,839.0,987.0,98700.0,107.0,2.700000047683716,33.313910627934206,50.97174498041568,936.5041460602279,26.113928025352813
