label,solver,FromBus#,ToBus#,CKT,Current(A),weather_site_id,T_min,T_mean,T_max,R_factor_min,R_factor_mean,R_factor_max,n_rows,csv
0101_0102_A1,fnsl,101,102,A1,151.03894945071795,272693,1.4764947772397363,27.71235918859574,63.332420349121094,0.7574593983156191,0.844006718397283,0.9615107878745616,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0101_0102_A1.csv
0101_0103_A2,fnsl,101,103,A2,280.1495014997261,272693,3.3899148823117002,29.201131998485984,66.16484927812417,0.763771421418341,0.8489179077099812,0.9708544530682606,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0101_0103_A2.csv
0101_0105_A3,fnsl,101,105,A3,397.882986463396,272693,5.872986400374771,32.39578542620531,70.19551937000506,0.7719626203851433,0.859456485300706,0.9841508967880493,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0101_0105_A3.csv
0102_0104_A4,fnsl,102,104,A4,313.18782913571624,273508,3.9462522389056858,30.549825015185203,68.60184896142164,0.76560667664453,0.8533669993952413,0.9788936694753239,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0102_0104_A4.csv
0102_0106_A5,fnsl,102,106,A5,300.3964843067756,272693,3.578213679928126,29.822069541175992,65.89830817734764,0.7643925847256664,0.8509662671394748,0.9699751827075767,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0102_0106_A5.csv
0103_0109_A6,fnsl,103,109,A6,129.13002582095044,273508,1.395136833190918,27.33013025120072,60.26508531066065,0.7571910133325908,0.8427458150143977,0.9513922103728256,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0103_0109_A6.csv
0103_0124_A7,fnsl,103,124,A7,318.06854594162337,270245,5.238666713454791,30.20017284875409,66.54202241381427,0.7698701157084459,0.8522135608238686,0.9720986782856559,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0103_0124_A7.csv
0104_0109_A8,fnsl,104,109,A8,62.16218476944483,277498,0.029274557531664414,26.326645130936008,62.60541350646963,0.7526852834010173,0.8394355010663219,0.9591125252167746,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0104_0109_A8.csv
0105_0110_A9,fnsl,105,110,A9,174.5053263942401,273508,1.4579534530639648,27.60867112749436,60.57810909008549,0.7573982338770089,0.8436646704406355,0.9524248185921047,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0105_0110_A9.csv
0106_0110_10,fnsl,106,110,10,609.8565941052912,273508,11.9319107511933,39.74500294005128,82.6608476638794,0.7919499040865298,0.8837002102471304,1.0252717358371335,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0106_0110_10.csv
0107_0108_11,fnsl,107,108,11,403.5423634344154,280694,6.8523557196772344,32.969916055404255,67.90064555129356,0.7751933807148523,0.8613504372801369,0.9765805276238801,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0107_0108_11.csv
0107_0203_B1,fnsl,107,203,B1,683.6637057374143,273483,14.264709478285624,42.517939176463614,83.03000178396906,0.7996453805897689,0.8928476199248135,1.0264895077881515,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0107_0203_B1.csv
0108_0109_1,fnsl,108,109,1,124.7603003357548,280694,1.0647670775548477,27.010830028745705,60.40341758728027,0.7561011839090952,0.8416925019570624,0.9518485432625872,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0108_0109_1.csv
0108_0110_2,fnsl,108,110,2,144.31207512627373,280694,1.3858982115842764,27.226236080107395,60.40186882019043,0.7571605368089753,0.8424030871385692,0.9518434341631136,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0108_0110_2.csv
0109_0111_14,fnsl,109,111,14,345.8069609229029,273502,4.035354803527184,31.093969625938676,70.02212524414062,0.7659006097149058,0.8551620329820594,0.9835789012678646,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0109_0111_14.csv
0109_0112_15,fnsl,109,112,15,554.5680874791911,273502,9.885136650420918,38.737519908633956,81.03339037817932,0.7851979705326373,0.8803767079210862,1.0199030517939367,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0109_0112_15.csv
0110_0111_16,fnsl,110,111,16,377.02446773574326,273502,5.156767510703958,32.129236000877384,71.12710562804568,0.7695999452119159,0.858577187478849,0.9872240295346656,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0110_0111_16.csv
0110_0112_17,fnsl,110,112,17,571.9298541192586,273502,8.8972181783206,37.69605624592066,84.78320374048053,0.7819390081108599,0.8769411097049568,1.0322730005108964,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0110_0112_17.csv
0111_0113_18,fnsl,111,113,18,667.1623489472164,277498,14.13992833694374,43.68523842459713,88.55648803710938,0.799233750417782,0.8966983267311641,1.0447203755490941,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0111_0113_18.csv
0111_0114_19,fnsl,111,114,19,244.5580186566129,271871,2.026224896338249,28.138943458894698,63.775657704114565,0.7592728574732888,0.845413941914088,0.9629729468731484,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0111_0114_19.csv
0112_0113_20,fnsl,112,113,20,460.3762500368809,277498,7.972152149311,34.83794932065394,73.72439575195312,0.7788873844077464,0.8675127374962023,0.9957920147999602,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0112_0113_20.csv
0112_0123_21,fnsl,112,123,21,269.7984705193822,269416,0.9762751098128319,27.632191014046924,66.66264771337592,0.7558092650861914,0.8437422582463138,0.9724965990954078,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0112_0123_21.csv
0113_0123_22,fnsl,113,123,22,231.54480950326217,270224,0.15160083770751953,26.46234404357494,61.35920511333097,0.7530888154348311,0.8398831469697597,0.9550015115677353,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0113_0123_22.csv
0113_0215_B2,fnsl,113,215,B2,740.3144347153551,273483,16.724108892289394,45.40113142318508,87.45906331724109,0.8077584896131678,0.9023587440227856,1.041100172036575,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0113_0215_B2.csv
0114_0116_23,fnsl,114,116,23,224.03368518668407,262163,1.0152627826363414,27.26012471800441,62.092854575828824,0.7559378782908562,0.8425148795592501,0.9574216870139485,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0114_0116_23.csv
0115_0116_24,fnsl,115,116,24,280.8056255894058,256615,-1.4035043716430664,24.359429059338254,58.85164392484876,0.7479588076636341,0.8329460149053601,0.9467295256555811,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0115_0116_24.csv
0115_0121_1,fnsl,115,121,1,92.87691810200111,249642,0.815488839128875,25.620375971117436,60.960950236869394,0.755278860575197,0.8371056482328025,0.9536877415418359,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0115_0121_1.csv
0115_0121_2,fnsl,115,121,2,92.87691810200111,249642,0.815488839128875,25.620375971117436,60.960950236869394,0.755278860575197,0.8371056482328025,0.9536877415418359,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0115_0121_2.csv
0115_0124_26,fnsl,115,124,26,178.57691039477652,263770,0.8669240966393659,26.530375169389387,62.22000628562091,0.7554485360859958,0.8401075692159288,0.9578411372578498,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/fnsl/timeseries/0115_0124_26.csv
