label,solver,FromBus#,ToBus#,CKT,Current(A),weather_site_id,T_min,T_mean,T_max,R_factor_min,R_factor_mean,R_factor_max,n_rows,csv
0101_0102_A1,inlf,101,102,A1,180.30311906268784,272693,1.8055421710542987,28.075983453146538,63.923072814941406,0.7585448655092285,0.8452062483658827,0.9634592423723767,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/inlf/timeseries/0101_0102_A1.csv
0101_0103_A2,inlf,101,103,A2,227.01587916830383,272693,2.4683919788252524,28.307758874745346,64.38939000143728,0.760731485838551,0.8459708331070469,0.964997537515485,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/inlf/timeseries/0101_0103_A2.csv
0101_0105_A3,inlf,101,105,A3,453.6865089582303,272693,7.3896714931977385,34.06386150523333,73.08382504450128,0.7769658872161315,0.8649591633168996,0.9936788891493802,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/inlf/timeseries/0101_0105_A3.csv
0102_0104_A4,inlf,102,104,A4,338.7473922535297,273508,4.495932567301111,31.1836098091197,69.60834387251816,0.767419971551773,0.8554577395577723,0.9822139121730842,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/inlf/timeseries/0102_0104_A4.csv
0102_0106_A5,inlf,102,106,A5,336.0571536733343,272693,4.299074733429393,30.602976429295172,67.34056929057988,0.7667705735486601,0.8535423361929028,0.974732938436571,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/inlf/timeseries/0102_0106_A5.csv
0103_0109_A6,inlf,103,109,A6,55.30229873891255,273508,0.664179801940918,26.80782471369275,59.57709398282168,0.7547797197248164,0.8410228245374549,0.9491226527653349,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/inlf/timeseries/0103_0109_A6.csv
0103_0124_A7,inlf,103,124,A7,490.8558518537779,270245,8.800225736723405,35.081012499081254,75.10303198068141,0.78161904777882,0.8683145584834425,1.0003398836672912,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/inlf/timeseries/0103_0124_A7.csv
0104_0109_A8,inlf,104,109,A8,84.39328089361585,277498,0.13708286136528613,26.441035798671354,62.82801864034991,0.7530409232851489,0.8398128549655348,0.9598468588553271,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/inlf/timeseries/0104_0109_A8.csv
0105_0110_A9,inlf,105,110,A9,225.29426957608663,273508,2.095637321472168,28.305773274452317,61.90141493819101,0.7595018363733744,0.8459642829747005,0.9567901626496212,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/inlf/timeseries/0105_0110_A9.csv
0106_0110_10,inlf,106,110,10,611.3937417435967,273508,11.985060165245613,39.809520507503315,82.76981258392334,0.7921252342863667,0.8839130419066332,1.025631191186683,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/inlf/timeseries/0106_0110_10.csv
0107_0108_11,inlf,107,108,11,535.8627511464,280694,9.751613761241515,37.782995265122864,74.95924270828982,0.7847575029327577,0.8772279056345477,0.9998655491461613,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/inlf/timeseries/0107_0108_11.csv
0107_0203_B1,inlf,107,203,B1,546.2252651335583,273483,9.251134683137195,36.58680059748025,74.1120768699111,0.7831065139549322,0.8732818781220852,0.9970709039297194,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/inlf/timeseries/0107_0203_B1.csv
0108_0109_1,inlf,108,109,1,67.37065447984273,280694,0.4520450621813552,26.58071733720897,59.867544174194336,0.7540799260022027,0.8402736388236829,0.95008079484468,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/inlf/timeseries/0108_0109_1.csv
0108_0110_2,inlf,108,110,2,101.3819442476523,280694,0.7855640441109699,26.813970613224186,59.89851951599121,0.7551801441474787,0.8410430987363758,0.9501829768341544,17520,temperature_calculation/output/rts_gmlc_export_13_40_summer_v35/base_case/inlf/timeseries/0108_0110_2.csv
