Contingency,Converged,FromBus#,ToBus#,CKT,Pij(MW),Qij(MVAr),Sij(MVA),Pji(MW),Qji(MVAr),Sji(MVA),RateA,Ploss(MW),Qloss(MVAr),Loading_%,Violation
LT_101-102_A1,True,101.0,103.0,A2,70.836411,-0.626018,70.839172,-67.862442,12.035242,68.921391,175.0,2.973968,11.409224,40.48,False
LT_101-102_A1,True,101.0,105.0,A3,100.87458,-11.180667,101.49231,-98.439932,20.587263,100.569656,175.0,2.434648,9.406596,58.0,False
LT_101-102_A1,True,102.0,104.0,A4,64.102921,5.697978,64.355659,-62.626677,-0.016676,62.626679,175.0,1.476244,5.681302,36.77,False
LT_101-102_A1,True,102.0,106.0,A5,60.408073,-8.938627,61.065823,-58.424205,16.556681,60.724883,175.0,1.983868,7.618053,34.89,False
LT_101-102_A1,True,103.0,109.0,A6,-24.746557,-6.001321,25.463856,24.972868,6.870061,25.900615,175.0,0.22631,0.86874,14.55,False
LT_101-102_A1,True,103.0,124.0,A7,-61.206009,-32.531162,69.314156,61.316711,37.180642,71.708711,400.0,0.110702,4.64948,17.33,False
LT_101-102_A1,True,104.0,109.0,A8,-0.608331,-9.728178,9.74718,0.63068,9.814263,9.834506,175.0,0.022349,0.086085,5.57,False
LT_101-102_A1,True,105.0,110.0,A9,37.768929,-30.435631,48.505871,-37.190808,32.647571,49.487575,175.0,0.578121,2.21194,27.72,False
LT_101-102_A1,True,106.0,110.0,10,-57.791805,-126.762917,139.315216,58.338924,129.14679,141.712115,175.0,0.547119,2.383874,79.61,False
LT_101-102_A1,True,107.0,108.0,11,89.924179,21.033386,92.351295,-88.451052,-15.417088,89.784604,175.0,1.473127,5.616298,52.77,False
LT_101-102_A1,True,107.0,203.0,B1,158.259796,-1.245568,158.264694,-146.948452,44.605721,153.569261,175.0,11.311344,43.360153,90.44,False
LT_101-102_A1,True,108.0,109.0,1,-27.825859,0.862592,27.839226,28.20889,0.607178,28.215424,175.0,0.383031,1.46977,15.91,False
LT_101-102_A1,True,108.0,110.0,2,-29.847092,-13.816525,32.889896,30.35189,15.753541,34.196656,175.0,0.504798,1.937016,18.79,False
LT_101-102_A1,True,109.0,111.0,14,-78.827911,-13.243619,79.932678,78.97062,19.237387,81.279985,400.0,0.142709,5.993768,19.98,False
LT_101-102_A1,True,109.0,112.0,15,-124.526535,-25.516733,127.113976,124.887436,40.674589,131.344181,400.0,0.360901,15.157856,31.78,False
LT_101-102_A1,True,110.0,111.0,16,-85.545921,17.664465,87.350662,85.707163,-10.892335,86.396532,400.0,0.161241,6.77213,21.84,False
LT_101-102_A1,True,110.0,112.0,17,-132.587082,5.268709,132.691711,132.959158,10.358471,133.362047,400.0,0.372076,15.62718,33.17,False
LT_101-102_A1,True,111.0,113.0,18,-256.701355,6.842515,256.792511,260.980209,27.388316,262.413394,500.0,4.278854,34.230831,51.36,False
LT_101-102_A1,True,111.0,114.0,19,92.023575,-15.187568,93.268433,-91.559583,19.085099,93.527527,500.0,0.463992,3.897531,18.65,False
LT_101-102_A1,True,112.0,113.0,20,-179.360733,19.397886,180.406631,181.416451,-2.952139,181.44047,500.0,2.055718,16.445747,36.08,False
LT_101-102_A1,True,112.0,123.0,21,-78.485855,-70.430946,105.454018,79.721972,80.422892,113.240604,500.0,1.236117,9.991945,21.09,False
LT_101-102_A1,True,113.0,123.0,22,18.662611,-88.581612,90.526215,-17.89446,94.656986,96.33357,500.0,0.768151,6.075375,18.11,False
LT_101-102_A1,True,113.0,215.0,B2,282.629547,-49.499939,286.931519,-274.146606,113.121998,296.568623,500.0,8.482941,63.622059,57.39,False
LT_101-102_A1,True,114.0,116.0,23,-74.218407,-44.256523,86.411873,74.603508,48.800717,89.147032,500.0,0.385101,4.544194,17.28,False
LT_101-102_A1,True,115.0,116.0,24,-106.102264,-26.744102,109.420921,106.346654,28.821414,110.18296,500.0,0.24439,2.077312,21.88,False
LT_101-102_A1,True,115.0,121.0,1,-35.730247,3.391044,35.890804,35.813372,-2.712192,35.915924,500.0,0.083125,0.678852,7.18,False
LT_101-102_A1,True,115.0,121.0,2,-35.730247,3.391044,35.890804,35.813372,-2.712192,35.915924,500.0,0.083125,0.678852,7.18,False
LT_101-102_A1,True,115.0,124.0,26,61.677731,29.499834,68.369453,-61.316711,-26.817973,66.924903,500.0,0.36102,2.681861,13.67,False
LT_101-102_A1,True,116.0,117.0,27,-7.616892,18.501068,20.007662,7.632354,-18.367064,19.889743,500.0,0.015462,0.134004,4.0,False
LT_101-102_A1,True,116.0,119.0,28,-103.786278,-59.295815,119.530693,104.212667,62.5648,121.550953,500.0,0.426389,3.268986,23.91,False
LT_101-102_A1,True,117.0,118.0,29,4.249835,39.766148,39.992596,-4.214596,-39.519474,39.743574,500.0,0.035239,0.246673,8.0,False
LT_101-102_A1,True,117.0,122.0,30,-11.882191,-16.007742,19.935755,11.906398,16.189298,20.096161,500.0,0.024208,0.181557,3.99,False
LT_101-102_A1,True,118.0,121.0,1,7.097293,-14.04056,15.732415,-7.091683,14.08918,15.773299,500.0,0.00561,0.04862,3.15,False
