+------+------------------------------------+------------------+------------------+------------------+------------------+
|  #   |            Contingency             |  Bus Violations  | Line Violations  |  Gen Violations  |    Converged     |
+------+------------------------------------+------------------+------------------+------------------+------------------+
|  1   | LT_101-102_A1                      |        16        |        0         |        5         |       YES        |
|  2   | LT_101-103_A2                      |        17        |        0         |        5         |       YES        |
|  3   | LT_101-105_A3                      |        18        |        0         |        5         |       YES        |
|  4   | LT_102-104_A4                      |        17        |        0         |        5         |       YES        |
|  5   | LT_102-106_A5                      |        18        |        0         |        5         |       YES        |
|  6   | LT_103-109_A6                      |        16        |        0         |        5         |       YES        |
|  7   | LT_103-124_A7                      |        -         |        -         |        -         |        NO        |
|  8   | LT_104-109_A8                      |        16        |        0         |        5         |       YES        |
|  9   | LT_105-110_A9                      |        17        |        0         |        5         |       YES        |
|  10  | LT_106-110_10                      |        22        |        1         |        5         |       YES        |
|  11  | LT_107-108_11                      |        18        |        1         |        5         |       YES        |
|  12  | LT_107-203_B1                      |        17        |        1         |        5         |       YES        |
|  13  | LT_108-109_1                       |        16        |        0         |        5         |       YES        |
|  14  | LT_108-110_2                       |        17        |        0         |        5         |       YES        |
|  15  | LT_109-111_14                      |        -         |        -         |        -         |        NO        |
|  16  | LT_109-112_15                      |        -         |        -         |        -         |        NO        |
|  17  | LT_110-111_16                      |        -         |        -         |        -         |        NO        |
|  18  | LT_110-112_17                      |        -         |        -         |        -         |        NO        |
|  19  | LT_111-113_18                      |        18        |        0         |        5         |       YES        |
|  20  | LT_111-114_19                      |        16        |        0         |        5         |       YES        |
|  21  | LT_112-113_20                      |        16        |        0         |        5         |       YES        |
|  22  | LT_112-123_21                      |        19        |        0         |        5         |       YES        |
|  23  | LT_113-123_22                      |        16        |        0         |        5         |       YES        |
|  24  | LT_113-215_B2                      |        16        |        1         |        5         |       YES        |
|  25  | LT_114-116_23                      |        20        |        0         |        5         |       YES        |
|  26  | LT_115-116_24                      |        16        |        0         |        5         |       YES        |
|  27  | LT_115-121_1                       |        16        |        0         |        5         |       YES        |
|  28  | LT_115-121_2                       |        16        |        0         |        5         |       YES        |
|  29  | LT_115-124_26                      |        17        |        0         |        5         |       YES        |
|  30  | LT_116-117_27                      |        16        |        0         |        5         |       YES        |
|  31  | LT_116-119_28                      |        16        |        0         |        5         |       YES        |
|  32  | LT_117-118_29                      |        16        |        0         |        5         |       YES        |
|  33  | LT_117-122_30                      |        16        |        0         |        5         |       YES        |
|  34  | LT_118-121_1                       |        16        |        0         |        5         |       YES        |
|  35  | LT_118-121_2                       |        16        |        0         |        5         |       YES        |
|  36  | LT_119-120_1                       |        16        |        0         |        5         |       YES        |
|  37  | LT_119-120_2                       |        16        |        0         |        5         |       YES        |
|  38  | LT_120-123_1                       |        16        |        0         |        5         |       YES        |
|  39  | LT_120-123_2                       |        16        |        0         |        5         |       YES        |
|  40  | LT_121-122_34                      |        16        |        0         |        5         |       YES        |
