FromBus#,ToBus#,CKT,Pij(MW),Qij(MVAr),Sij(MVA),Pji(MW),Qji(MVAr),Sji(MVA),RateA,Ploss(MW),Qloss(MVAr)
101,102,A1,16.118435,-30.825264,34.785065,-16.107178,30.877798,34.826421,175.0,0.011257,0.052534
101,103,A2,64.531693,-0.259658,64.532219,-62.062187,9.733578,62.820837,175.0,2.469506,9.473921
101,105,A3,91.06086,-10.396042,91.652374,-89.076013,18.064766,90.889339,175.0,1.984846,7.668724
102,104,A4,72.045227,4.841408,72.20771,-70.18962,2.29987,70.227289,175.0,1.855607,7.141277
102,106,A5,68.572945,-9.724418,69.259033,-66.017301,19.538089,68.84781,175.0,2.555644,9.813671
103,109,A6,-28.436893,-4.381958,28.77253,28.728551,5.501546,29.250584,175.0,0.291657,1.119588
103,124,A7,-63.315922,-31.845934,70.873619,63.431524,36.701229,73.283957,400.0,0.115602,4.855295
104,109,A8,6.954613,-12.046571,13.909944,-6.903636,12.242927,14.055228,175.0,0.050977,0.196356
105,110,A9,28.40501,-27.91151,39.823322,-28.019936,29.384836,40.602776,175.0,0.385074,1.473326
106,110,10,-50.198711,-129.681412,139.058182,50.635101,131.582824,140.989195,175.0,0.43639,1.901412
107,108,11,90.656624,20.829994,93.018875,-89.162262,-15.132739,90.437319,175.0,1.494362,5.697255
107,203,B1,157.527344,-4.419742,157.58934,-146.318201,47.388125,153.800684,175.0,11.209143,42.968384
108,109,1,-27.930376,0.983914,27.947701,28.316576,0.498015,28.320955,175.0,0.3862,1.481929
108,110,2,-29.031342,-14.222002,32.327763,29.517367,16.086984,33.616455,175.0,0.486026,1.864982
109,111,14,-77.000084,-13.674404,78.20488,77.136724,19.413284,79.542126,400.0,0.13664,5.73888
109,112,15,-122.683418,-26.037863,125.416077,123.03483,40.797165,129.622445,400.0,0.351412,14.759302
110,111,16,-85.847649,17.912086,87.696419,86.01007,-11.090386,86.722136,400.0,0.162421,6.8217
110,112,17,-132.917877,5.509492,133.032013,133.291636,10.188396,133.680454,400.0,0.373759,15.697887
111,113,18,-255.674286,6.792493,255.764511,259.917986,27.157111,261.332869,500.0,4.243701,33.949604
111,114,19,92.527481,-15.115389,93.75399,-92.058663,19.053465,94.009743,500.0,0.468819,3.938076
112,113,20,-178.288727,19.416988,179.342957,180.319927,-3.167389,180.347743,500.0,2.0312,16.249599
112,123,21,-78.037727,-70.40255,105.101883,79.264256,80.316993,112.843439,500.0,1.226529,9.914443
113,123,22,18.52264,-88.567345,90.483498,-17.755345,94.635956,96.287156,500.0,0.767296,6.068612
113,215,B2,283.261536,-58.858925,289.312073,-274.650836,123.439171,301.115112,500.0,8.6107,64.580246
114,116,23,-73.71933,-44.223423,85.966568,74.100256,48.718355,88.681036,500.0,0.380926,4.494932
115,116,24,-107.051361,-26.615086,110.310272,107.299779,28.72664,111.078632,500.0,0.248418,2.111554
115,121,1,-36.321865,3.47475,36.487694,36.407707,-2.773705,36.513211,500.0,0.085842,0.701044
115,121,2,-36.321865,3.47475,36.487694,36.407707,-2.773705,36.513211,500.0,0.085842,0.701044
115,124,26,63.810062,29.149813,70.152946,-63.431525,-26.337823,68.682162,500.0,0.378537,2.811989
116,117,27,-7.879622,18.857817,20.437849,7.895672,-18.718712,20.315802,500.0,0.016051,0.139104
116,119,28,-103.973427,-59.256405,119.673706,104.400863,62.533419,121.696215,500.0,0.427437,3.277014
117,118,29,4.023212,40.158127,40.359158,-3.98734,-39.907019,40.105724,500.0,0.035873,0.251108
117,122,30,-11.918886,-16.048534,19.990379,11.943288,16.231546,20.152052,500.0,0.024402,0.183012
118,121,1,6.983664,-14.541453,16.131504,-6.977738,14.592809,16.175256,500.0,0.005926,0.051355
118,121,2,6.983664,-14.541453,16.131504,-6.977738,14.592809,16.175256,500.0,0.005926,0.051355
119,120,1,-129.534958,-44.620739,137.004807,130.438637,51.85017,140.366229,500.0,0.903679,7.229431
119,120,2,-129.534958,-44.620739,137.004807,130.438637,51.85017,140.366229,500.0,0.903679,7.229431
120,123,1,-185.128616,-54.30405,192.928833,186.167948,61.925814,196.197123,500.0,1.039331,7.621764
120,123,2,-185.128616,-54.30405,192.928833,186.167948,61.925814,196.197123,500.0,1.039331,7.621764
121,122,34,-21.699448,-18.943924,28.805178,21.756713,19.376599,29.134296,500.0,0.057266,0.432675
121,325,1,362.839508,35.362282,364.558624,-346.279535,98.49749,360.015655,500.0,16.559973,133.859772
123,217,B3,236.155197,-7.667957,236.279648,-231.09669,45.100918,235.45652,500.0,5.058507,37.432961
201,202,B1,16.868261,-30.490185,34.845222,-16.855896,30.54789,34.889752,175.0,0.012365,0.057705
201,203,B2,-55.878265,24.004251,60.81599,58.193035,-15.123953,60.126228,175.0,2.31477,8.880299
201,205,B3,64.010002,-21.395325,67.491035,-62.919324,25.609309,67.931421,175.0,1.090678,4.213984
202,204,B4,33.548122,2.649704,33.652599,-33.134334,-1.057246,33.151197,175.0,0.413788,1.592458
202,206,B5,49.896774,-17.862358,52.997662,-48.399646,23.61133,53.85184,175.0,1.497128,5.748972
203,209,B6,113.247696,-36.251892,118.908539,-108.297655,55.253664,121.578573,175.0,4.950041,19.001772
203,224,B7,-183.617523,-19.512785,184.651413,184.393126,52.088095,191.608962,400.0,0.775603,32.57531
204,209,B8,-32.024662,-9.103262,33.293365,32.357955,10.387056,33.984234,175.0,0.333293,1.283794
205,210,B9,0.401324,-35.831558,35.833805,-0.099865,36.98497,36.985105,175.0,0.30146,1.153412
206,210,10,-71.352356,-136.772446,154.265549,72.189287,140.419075,157.888599,175.0,0.836931,3.646629
207,208,11,-0.066,35.313168,35.313232,0.291925,-34.451828,34.453064,175.0,0.225925,0.86134
208,209,1,-86.423592,17.268797,88.132004,90.257071,-2.558934,90.293339,175.0,3.833479,14.709863
208,210,2,-64.438316,-12.104134,65.565285,66.518906,20.087793,69.485857,175.0,2.08059,7.983659
209,211,14,-87.119835,-34.106331,93.558044,87.310934,42.132485,96.945064,400.0,0.191099,8.026155
209,212,15,-81.290543,-51.246346,96.095474,81.492148,59.713765,101.028233,400.0,0.201605,8.46742
210,211,16,-157.645554,13.657519,158.236053,158.155375,7.754956,158.345388,400.0,0.509821,21.412476
210,212,17,-152.665787,-4.415604,152.72963,153.140743,24.363753,155.066694,400.0,0.474956,19.948149
211,213,18,-59.41906,-91.506264,109.105553,60.091774,96.887975,114.010091,500.0,0.672714,5.381711
211,214,19,-186.047211,41.619068,190.645523,187.914041,-25.937691,189.695679,500.0,1.866831,15.681377
212,213,20,-70.542046,-60.906349,93.197441,71.02171,64.743668,96.103204,500.0,0.479665,3.837318
212,223,21,-164.090836,-23.171196,165.718765,167.301608,49.124939,174.364812,500.0,3.210772,25.953743
213,223,22,-148.893494,3.252392,148.929001,151.176237,14.802033,151.89916,500.0,2.282743,18.054424
214,216,23,-358.73703,0.193821,358.737091,365.369503,78.069355,373.617047,500.0,6.632473,78.263176
215,216,24,330.973206,-77.890511,340.014984,-328.737957,96.890125,342.71904,500.0,2.235249,18.999615
215,221,1,-134.260147,-40.941116,140.363663,135.382095,50.103689,144.356127,500.0,1.121948,9.162573
215,221,2,-134.260147,-40.941116,140.363663,135.382095,50.103689,144.356127,500.0,1.121948,9.162573
215,224,26,187.069946,61.189758,196.823151,-184.393112,-41.304707,188.962691,500.0,2.676834,19.885052
216,217,27,-372.611237,-8.622268,372.710999,376.587505,43.083259,379.04395,500.0,3.976268,34.460991
216,219,28,402.926697,-42.384708,405.149841,-398.232802,78.371235,405.87118,500.0,4.693895,35.986526
217,218,29,-129.934387,-46.372471,137.961426,130.283414,48.815656,139.128488,500.0,0.349026,2.443185
217,222,30,-15.556433,-19.023224,24.574085,15.594198,19.306463,24.817706,500.0,0.037765,0.283239
218,221,1,-34.249722,25.784531,42.870567,34.304338,-25.311186,42.631488,500.0,0.054617,0.473344
218,221,2,-34.249722,25.784531,42.870567,34.304338,-25.311186,42.631488,500.0,0.054617,0.473344
219,220,1,119.428383,-52.905594,130.622131,-118.637195,59.235096,132.603094,500.0,0.791188,6.329502
219,220,2,119.428383,-52.905594,130.622131,-118.637195,59.235096,132.603094,500.0,0.791188,6.329502
220,223,1,62.283241,-61.841904,87.770287,-62.077571,63.350151,88.695358,500.0,0.20567,1.508247
220,223,2,62.283241,-61.841904,87.770287,-62.077571,63.350151,88.695358,500.0,0.20567,1.508247
221,222,34,15.627131,-20.119064,25.475164,-15.594198,20.36789,25.652095,500.0,0.032933,0.248826
223,318,1,135.677216,62.86438,149.533401,-132.845448,-40.210236,138.797608,500.0,2.831768,22.654144
301,302,C1,10.546551,-31.691196,33.400024,-10.539411,31.724515,33.429389,175.0,0.00714,0.033319
301,303,C2,-13.752384,15.314937,20.583376,14.05696,-14.146475,19.94294,175.0,0.304575,1.168462
301,305,C3,33.717838,-4.456062,34.011017,-33.444133,5.513559,33.895566,175.0,0.273705,1.057497
302,304,C4,20.670568,12.654845,24.236698,-20.446005,-11.790617,23.602071,175.0,0.224563,0.864228
302,306,C5,28.476858,-7.313998,29.401123,-28.025675,9.046542,29.44959,175.0,0.451183,1.732544
303,309,C6,17.009418,-14.340212,22.24774,-16.845595,14.969085,22.535473,175.0,0.163824,0.628873
303,324,C7,-163.546371,6.351057,163.669647,164.165664,19.659213,165.338591,400.0,0.619292,26.010269
304,309,C8,-34.01799,3.81425,34.231155,34.382188,-2.411412,34.466647,175.0,0.364198,1.402838
305,310,C9,-18.811863,-13.703781,23.274017,18.940765,14.196973,23.670797,175.0,0.128903,0.493192
306,310,10,-72.070343,-116.78743,137.23497,72.86352,120.243415,140.597195,175.0,0.793177,3.455985
307,308,11,-47.999973,53.462837,71.848961,48.920827,-49.952084,69.917508,175.0,0.920853,3.510753
308,309,1,-91.73259,24.203344,94.871864,96.266351,-6.806355,96.506667,175.0,4.533761,17.39699
308,310,2,-83.044075,1.497116,83.057571,86.486415,11.711861,87.275813,175.0,3.44234,13.208977
309,311,14,-103.396484,-13.079717,104.220497,103.64162,23.375399,106.244974,400.0,0.245135,10.295682
309,312,15,-139.206497,-9.961854,139.562469,139.646076,28.424169,142.509508,400.0,0.439579,18.462315
310,311,16,-142.466934,27.818447,145.157486,142.912273,-9.114202,143.202607,400.0,0.445339,18.704245
310,312,17,-179.343765,32.264977,182.222992,180.045573,-2.789038,180.067174,400.0,0.701808,29.475939
311,313,18,-172.147858,-49.169136,179.032089,174.207937,65.649771,186.167392,500.0,2.060079,16.480635
311,314,19,-74.406036,34.908138,82.187813,74.789015,-31.691115,81.226373,500.0,0.382979,3.217023
312,313,20,-107.200829,-58.683651,122.212067,108.136841,66.171751,126.776484,500.0,0.936012,7.4881
312,323,21,-212.490845,33.048664,215.045517,218.588442,16.240246,219.190904,500.0,6.097597,49.28891
313,323,22,-187.804794,62.090389,197.802567,192.274794,-26.736755,194.124832,500.0,4.47,35.353634
314,316,23,-217.573029,10.986379,217.850235,220.223569,20.29,221.15629,500.0,2.65054,31.276379
315,316,24,23.704517,24.050259,33.768612,-23.678196,-23.826524,33.591073,500.0,0.026322,0.223735
315,321,1,-129.168274,8.102109,129.422134,130.255714,0.778652,130.258041,500.0,1.08744,8.880761
315,321,2,-129.168274,8.102109,129.422134,130.255714,0.778652,130.258041,500.0,1.08744,8.880761
315,324,26,166.320023,25.784445,168.306824,-164.165664,-9.780642,164.456761,500.0,2.154358,16.003803
316,317,27,-162.32402,-0.696983,162.325531,163.183261,8.143738,163.386343,500.0,0.859241,7.446755
316,319,28,-45.821388,12.168578,47.409637,45.89663,-11.591727,47.337815,500.0,0.075241,0.576851
317,318,29,-120.207954,0.576188,120.209335,120.518512,1.597715,120.529102,500.0,0.310558,2.173903
317,322,30,-42.975285,-3.629696,43.128296,43.259724,5.762989,43.641903,500.0,0.284439,2.133292
318,321,1,-31.380537,-1.938893,31.44038,31.412132,2.212719,31.48997,500.0,0.031595,0.273826
318,321,2,-31.380537,-1.938893,31.44038,31.412132,2.212719,31.48997,500.0,0.031595,0.273826
319,320,1,-89.556297,-5.570409,89.729378,89.994099,9.072827,90.450285,500.0,0.437802,3.502417
319,320,2,-89.556297,-5.570409,89.729378,89.994099,9.072827,90.450285,500.0,0.437802,3.502417
