Contingency,Converged,FromBus#,ToBus#,CKT,Pij(MW),Qij(MVAr),Sij(MVA),Pji(MW),Qji(MVAr),Sji(MVA),RateA,Ploss(MW),Qloss(MVAr),Loading_%,Violation,Current(A),Tcond(degC),lat_mid,lon_mid,bearing_deg,length_km,weather_site_id,weather_site_distance_km,weather_site_elevation_m,air_temperature,ghi,surface_pressure,surface_pressure_pa,wind_direction,wind_speed,wind_conductor_angle_deg,Tcond_realweather(degC),Ampacity_at_75C(A),Loading_realweather_%
LT_101-102_A1,True,101.0,103.0,A2,6.882832,3.392387,7.67344,-6.833069,-3.202038,7.546117,175.0,0.049763,0.190349,4.38,False,33.40102613797048,8.064489364624023,33.4664680426,-114.25302055200001,281.65513948457516,78.99713734402492,272693,27.889914770408065,91.0,11.399999618530273,39.0,1008.0,100800.0,46.0,0.8999999761581421,124.34486051542484,11.925632477647014,1207.2596147715283,2.766681311069249
LT_101-102_A1,True,101.0,105.0,A3,27.917418,-10.832301,29.945299,-27.709066,11.63494,30.05269,175.0,0.208352,0.802639,17.11,False,130.34619604875274,8.842687606811523,33.527831551000006,-113.917332536,332.7077807708397,32.97810897483768,272693,55.37740896846629,91.0,11.399999618530273,39.0,1008.0,100800.0,46.0,0.8999999761581421,73.29221922916031,12.619194795650401,1229.6505437140033,10.60026336060151
LT_101-102_A1,True,102.0,104.0,A4,16.826632,7.004494,18.226313,-16.699625,-6.517144,17.926256,175.0,0.127006,0.487351,10.42,False,79.2100448989718,8.317403793334961,33.58499098295,-113.82567627200001,0.053868993317280456,50.552094829892674,273508,61.87228040205209,89.0,11.0,39.0,1005.0,100500.0,46.0,0.8999999761581421,45.94613100668272,11.79820442199707,1188.8033143376833,6.663006734894746
LT_101-102_A1,True,102.0,106.0,A5,18.509203,-11.565975,21.825727,-18.279063,12.447127,22.11459,175.0,0.23014,0.881152,12.47,False,94.85279966511608,8.45067024230957,33.54785744425,-114.003928834,322.14286051780334,53.63905217588826,272693,47.56965144659038,91.0,11.399999618530273,39.0,1008.0,100800.0,46.0,0.8999999761581421,83.85713948219666,12.239646912963508,1243.6007387549291,7.627271093460511
LT_101-102_A1,True,103.0,109.0,A6,-0.366804,-2.927178,2.95007,0.367639,2.930373,2.953344,175.0,0.000835,0.003195,1.69,False,13.072839822331868,8.017797470092773,33.72863454765,-114.48934004450001,38.03489934721705,54.229833774295344,273508,0.9566740748851706,89.0,11.0,39.0,1005.0,100500.0,46.0,0.8999999761581421,7.965100652782951,11.759000778198242,982.1313162479078,1.3310684229350087
LT_101-102_A1,True,103.0,124.0,A7,-73.202225,-5.235826,73.389229,73.323076,10.296697,74.042524,400.0,0.120851,5.06087,18.35,False,325.2145323336168,13.157796859741213,33.53989894155,-114.6634437025,62.122581397062504,1.4584863725043906,270245,1.1363138040058882,75.0,11.0,34.0,1008.0,100800.0,46.0,1.2000000476837158,163.8774186029375,17.454469680786133,1101.3763374781431,29.52801156762374
LT_101-102_A1,True,104.0,109.0,A8,-16.353468,2.909813,16.610327,16.439405,-2.579766,16.64059,175.0,0.085937,0.330047,9.49,False,73.47337097861647,8.274602890014648,33.8663698982,-114.066850007,285.22792751338363,46.175372092212655,277498,39.42199663193729,151.0,10.899999618530273,56.0,995.0,99500.0,59.0,0.6000000238418579,133.77207248661637,12.0423975009071,1100.9855773740946,6.673418116325749
LT_101-102_A1,True,105.0,110.0,A9,-4.003846,-15.757661,16.258373,4.060936,15.975451,16.483514,175.0,0.05709,0.21779,9.29,False,70.5785670378458,8.254175186157227,33.786176454599996,-114.14599382399999,316.1102545640957,39.125724159032,273508,31.981051974502726,89.0,11.0,39.0,1005.0,100500.0,46.0,0.8999999761581421,89.88974543590427,11.65233039855957,1258.1169733884544,5.609857313009485
LT_101-102_A1,True,106.0,110.0,10,-42.468033,-114.884445,122.482529,42.735331,116.045694,123.664512,175.0,0.267299,1.161248,69.99,False,527.098271803485,21.34444236755371,33.82541475805,-114.23744436449999,332.2035219612036,21.973081610449327,273508,25.547898565618038,89.0,11.0,39.0,1005.0,100500.0,46.0,0.8999999761581421,73.79647803879641,23.727052688598633,1233.1633021421167,42.74359047888203
LT_101-102_A1,True,107.0,108.0,11,142.602188,-6.87059,142.767609,-139.091083,20.217484,140.552751,175.0,3.511106,13.346894,81.58,False,619.9131312275578,26.29572868347168,34.57823637615,-113.7314761945,191.80450991680215,27.040331428742554,280694,48.23352083597048,170.0,11.399999618530273,52.0,996.0,99600.0,71.0,0.8999999761581421,59.19549008319785,29.405769376931858,1208.6474477943143,51.289822549896584
