label,solver,FromBus#,ToBus#,CKT,Current(A),weather_site_id,T_min,T_mean,T_max,R_factor_min,R_factor_mean,R_factor_max,n_rows,csv
0101_0102_A1,fnsl,101,102,A1,135.22761561457875,272693,1.3224321246444788,27.542442689989553,63.05615997314453,0.7569511737914438,0.8434461949336209,0.9605994554019338,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0101_0102_A1.csv
0101_0103_A2,fnsl,101,103,A2,66.89590321170913,272693,0.8535871386601457,26.739924912955924,60.96701148619468,0.7554045398999718,0.8407988355087074,0.9537077364952029,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0101_0103_A2.csv
0101_0105_A3,fnsl,101,105,A3,25.191857233042967,272693,0.7204465746889355,26.781595829789076,60.005250206027995,0.7549653335210547,0.840936300244792,0.9505350618673866,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0101_0105_A3.csv
0102_0104_A4,fnsl,102,104,A4,48.50690129261661,273508,0.5832796096801758,26.878709968518233,62.72233193439024,0.7545128447812476,0.8412566620334208,0.9594982177346972,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0102_0104_A4.csv
0102_0106_A5,fnsl,102,106,A5,46.31955342318484,272693,0.7689477801355906,26.76834203213562,60.107521094570984,0.7551253301305173,0.8408925783894786,0.9508724348308609,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0102_0106_A5.csv
0103_0109_A6,fnsl,103,109,A6,199.44222821958587,273508,2.63053035736084,28.213921079625695,61.46199989318848,0.7612663507061468,0.8456612793769833,0.955340612752875,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0103_0109_A6.csv
0103_0124_A7,fnsl,103,124,A7,115.73136845288693,270245,1.3043630481055288,27.089082536457273,60.81748706461076,0.756891567211448,0.8419506426733704,0.9532144827654251,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0103_0124_A7.csv
0104_0109_A8,fnsl,104,109,A8,123.86980103304322,277498,0.4118509277731732,26.729470840234633,63.38885772323556,0.7539473329013433,0.8407643494340815,0.9616969644535173,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0104_0109_A8.csv
0105_0110_A9,fnsl,105,110,A9,133.74664426632305,273508,1.0629701614379883,27.176456193439137,59.84750758316659,0.7560952562113495,0.8422388723935332,0.9500146977940993,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0105_0110_A9.csv
0106_0110_10,fnsl,106,110,10,536.273894813839,273508,9.472536647739275,36.83083104597082,77.73711080189969,0.7838368785580071,0.8740868899564217,1.009029228119065,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0106_0110_10.csv
0107_0108_11,fnsl,107,108,11,337.59781830301995,280694,5.14006730297308,31.053247969822515,65.0632664877412,0.7695448542798523,0.8550276996835303,0.9672205328413188,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0107_0108_11.csv
0107_0203_B1,fnsl,107,203,B1,645.5141442938693,273483,12.784118658008481,40.75222644561239,80.39032739673712,0.7947611821649199,0.8870228564448231,1.0177817045871163,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0107_0203_B1.csv
0108_0109_1,fnsl,108,109,1,2.480924871530778,280694,0.20047645866873154,26.40377538132407,59.6468448638916,0.7532500471726231,0.839689939660898,0.9493527481696747,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0108_0109_1.csv
0108_0110_2,fnsl,108,110,2,80.1869555961423,280694,0.566394427414366,26.663386613010648,59.714216232299805,0.7544571436520117,0.8405463496504179,0.9495749939967817,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0108_0110_2.csv
0109_0111_14,fnsl,109,111,14,270.4971100478657,273502,2.4354032501729534,29.323390656343868,67.06411743164062,0.760622662053941,0.8493212166701313,0.9738209742966577,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0109_0111_14.csv
0109_0112_15,fnsl,109,112,15,395.4360555220527,273502,5.881367348821641,32.83300620753991,72.01132651752414,0.7719902676018101,0.8608987967227814,0.9901409125900401,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0109_0112_15.csv
0110_0111_16,fnsl,110,111,16,350.96556040057226,273502,4.697380685230655,31.387640338121727,69.93784437794966,0.7680845120627673,0.8561307989707614,0.9833008740990768,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0110_0111_16.csv
0110_0112_17,fnsl,110,112,17,464.0502674666021,273502,6.450628136676187,33.86132409318032,77.72304751678166,0.773868154864982,0.8642910294237439,1.0089828359126018,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0110_0112_17.csv
0111_0113_18,fnsl,111,113,18,656.2165782456943,277498,13.810410591099753,43.143492242594746,87.69320678710938,0.7981467316188205,0.8949112051222992,1.041872568536038,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0111_0113_18.csv
0111_0114_19,fnsl,111,114,19,296.16953693617126,271871,3.0598804444463212,29.128783496952362,65.38895496384066,0.7626826981468658,0.8486792432306456,0.9682949195794851,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0111_0114_19.csv
0112_0113_20,fnsl,112,113,20,527.5508917618573,277498,10.219512078697335,37.394892316547576,77.86306762695312,0.7863010139378303,0.8759476249627035,1.0094447366566701,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0112_0113_20.csv
0112_0123_21,fnsl,112,123,21,30.058129006605277,269416,-1.271720266347529,25.071073909909494,61.90220152877009,0.7483935393333766,0.8352936011598537,0.9567927574681321,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0112_0123_21.csv
0113_0123_22,fnsl,113,123,22,312.90173748108697,270224,1.5120248794555664,27.97063420789322,64.02225059537159,0.7575766056269848,0.8448587204664264,0.9637864117376889,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0113_0123_22.csv
0113_0215_B2,fnsl,113,215,B2,845.0831550102731,273483,21.056045811680633,51.072315665651935,96.61293526842928,0.8220487575173518,0.9210669439958886,1.0712971220331273,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0113_0215_B2.csv
0114_0116_23,fnsl,114,116,23,88.72749284424654,262163,-0.0932817578217282,25.78865797472864,59.26262234839669,0.7522809925232092,0.8376607797963054,0.9480852683371168,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0114_0116_23.csv
0115_0116_24,fnsl,115,116,24,280.2017941804828,256615,-1.4170961380004883,24.346021018599114,58.82699335094367,0.747913970911356,0.8329017842303069,0.9466482079190464,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0115_0116_24.csv
0115_0121_1,fnsl,115,121,1,21.435078551875275,249642,0.611892342566307,25.326825531411785,60.34268088421959,0.7546072329558731,0.8361372790010148,0.9516481839834692,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0115_0121_1.csv
0115_0121_2,fnsl,115,121,2,21.435078551875275,249642,0.611892342566307,25.326825531411785,60.34268088421959,0.7546072329558731,0.8361372790010148,0.9516481839834692,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0115_0121_2.csv
0115_0124_26,fnsl,115,124,26,57.656674272249255,263770,0.17959995418738117,25.56897439753394,60.30403606243635,0.7531811794011175,0.8369360838391208,0.9515207017817039,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0115_0124_26.csv
0116_0117_27,fnsl,116,117,27,88.26918228566498,253477,-1.1904552221496942,23.903825518448105,56.427239418029785,0.7486616178567813,0.8314430621203667,0.9387318584329882,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0116_0117_27.csv
0116_0119_28,fnsl,116,119,28,245.18035166337995,256610,2.3712085753420524,28.61417865278648,60.17855748340662,0.7604108955581619,0.8469816559331474,0.9511067708902949,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0116_0119_28.csv
0117_0118_29,fnsl,117,118,29,63.439454612208415,248877,-2.9913811684064058,21.967559305153166,55.32523696865974,0.7427206924170772,0.8250556738834914,0.935096553827773,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0117_0118_29.csv
0117_0122_30,fnsl,117,122,30,53.12560301677423,244330,2.85990204808013,26.80874813367344,60.35041605828155,0.7620230059786052,0.8410258707311457,0.9516737009085048,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0117_0122_30.csv
0118_0121_1,fnsl,118,121,1,88.57328045947587,245078,2.5272485256632535,27.087912710603575,57.45252279574197,0.7609256428260328,0.8419467836317541,0.942114080847084,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0118_0121_1.csv
0118_0121_2,fnsl,118,121,2,88.57328045947587,245078,2.5272485256632535,27.087912710603575,57.45252279574197,0.7609256428260328,0.8419467836317541,0.942114080847084,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0118_0121_2.csv
0119_0120_1,fnsl,119,120,1,223.01406195097763,257390,1.648277139104266,27.529044878050076,62.0285049125232,0.7580260769210415,0.8434019980015076,0.9572094092395275,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0119_0120_1.csv
0119_0120_2,fnsl,119,120,2,223.01406195097763,257390,1.648277139104266,27.529044878050076,62.0285049125232,0.7580260769210415,0.8434019980015076,0.9572094092395275,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0119_0120_2.csv
0120_0123_1,fnsl,120,123,1,299.0993218485057,259756,0.4501955503988029,27.274449216371448,60.15229188800731,0.7540738248009718,0.8425621334604649,0.9510201254931197,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0120_0123_1.csv
0120_0123_2,fnsl,120,123,2,299.0993218485057,259756,0.4501955503988029,27.274449216371448,60.15229188800731,0.7540738248009718,0.8425621334604649,0.9510201254931197,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/fnsl/timeseries/0120_0123_2.csv
