FromBus#,ToBus#,CKT,Pij(MW),Qij(MVAr),Sij(MVA),Pji(MW),Qji(MVAr),Sji(MVA),RateA,Ploss(MW),Qloss(MVAr),Current(A),Tcond(degC),lat_mid,lon_mid,bearing_deg,length_km,weather_site_id,weather_site_distance_km,weather_site_elevation_m,air_temperature,ghi,surface_pressure,surface_pressure_pa,wind_direction,wind_speed,wind_conductor_angle_deg,Tcond_realweather(degC),Ampacity_at_75C(A),Loading_realweather_%
101,102,A1,4.259982,-32.640133,32.91695,-4.255166,32.662542,32.938551,175.0,0.004816,0.02241,143.2812281496001,9.015836715698242,33.3768908526,-113.8307877345,168.0832196909272,4.366718050928278,272693,66.37854754514882,91.0,11.399999618530273,39.0,1008.0,100800.0,46.0,0.8999999761581421,57.916780309072806,12.823986818682897,1210.9505572743788,11.832128676838723
101,103,A2,5.236003,3.794803,6.466549,-5.195142,-3.638506,6.342573,175.0,0.040861,0.156297,28.147658960188245,8.048925399780273,33.4664680426,-114.25302055200001,281.65513948457516,78.99713734402492,272693,27.889914770408065,91.0,11.399999618530273,39.0,1008.0,100800.0,46.0,0.8999999761581421,124.34486051542484,11.91106948934248,1207.2596147715283,2.3315332191837745
101,105,A3,25.302822,-10.277203,27.31032,-25.130119,10.942513,27.409149,175.0,0.172704,0.66531,118.87663318620308,8.702611923217773,33.527831551000006,-113.917332536,332.7077807708397,32.97810897483768,272693,55.37740896846629,91.0,11.399999618530273,39.0,1008.0,100800.0,46.0,0.8999999761581421,73.29221922916031,12.490858461216703,1229.6505437140033,9.667513570737853
102,104,A4,18.90563,6.525537,20.000137,-18.755014,-5.947592,19.675478,175.0,0.150616,0.577945,86.91893691036617,8.380632400512695,33.58499098295,-113.82567627200001,0.053868993317280456,50.552094829892674,273508,61.87228040205209,89.0,11.0,39.0,1005.0,100500.0,46.0,0.8999999761581421,45.94613100668272,11.861112594604492,1188.8033143376833,7.31146488759507
102,106,A5,20.683638,-12.017067,23.921179,-20.402947,13.091761,24.241998,175.0,0.28069,1.074694,103.9594602938258,8.540163040161133,33.54785744425,-114.003928834,322.14286051780334,53.63905217588826,272693,47.56965144659038,91.0,11.399999618530273,39.0,1008.0,100800.0,46.0,0.8999999761581421,83.85713948219666,12.31974334863844,1243.6007387549291,8.359552793278986
103,109,A6,-1.459683,-2.606968,2.987801,1.460912,2.611673,2.992507,175.0,0.001229,0.004705,13.239731124173751,8.017797470092773,33.72863454765,-114.48934004450001,38.03489934721705,54.229833774295344,273508,0.9566740748851706,89.0,11.0,39.0,1005.0,100500.0,46.0,0.8999999761581421,7.965100652782951,11.759000778198242,982.1313162479078,1.3480611915272442
103,124,A7,-73.748436,-5.123651,73.926201,73.871056,10.258609,74.57997,400.0,0.12262,5.134959,327.58641699083194,13.232698440551758,33.53989894155,-114.6634437025,62.122581397062504,1.4584863725043906,270245,1.1363138040058882,75.0,11.0,34.0,1008.0,100800.0,46.0,1.2000000476837158,163.8774186029375,17.54108238220215,1101.3763374781431,29.743367988177148
104,109,A8,-14.299661,2.334429,14.488956,14.365254,-2.082511,14.515419,175.0,0.065594,0.251918,64.09111290617466,8.211374282836914,33.8663698982,-114.066850007,285.22792751338363,46.175372092212655,277498,39.42199663193729,151.0,10.899999618530273,56.0,995.0,99500.0,59.0,0.6000000238418579,133.77207248661637,11.968517877376144,1100.9855773740946,5.821249090204719
105,110,A9,-6.584519,-15.071785,16.447329,6.643511,15.29683,16.677207,175.0,0.058991,0.225045,71.39555982451999,8.260011672973633,33.786176454599996,-114.14599382399999,316.1102545640957,39.125724159032,273508,31.981051974502726,89.0,11.0,39.0,1005.0,100500.0,46.0,0.8999999761581421,89.88974543590427,11.656888961791992,1258.1169733884544,5.674795057587702
106,110,10,-40.346207,-115.530647,122.372986,40.587364,116.578326,123.441646,175.0,0.241157,1.047678,526.641293678004,21.32206916809082,33.82541475805,-114.23744436449999,332.2035219612036,21.973081610449327,273508,25.547898565618038,89.0,11.0,39.0,1005.0,100500.0,46.0,0.8999999761581421,73.79647803879641,23.706083297729492,1233.1633021421167,42.70653308959002
