label,solver,FromBus#,ToBus#,CKT,Current(A),weather_site_id,T_min,T_mean,T_max,R_factor_min,R_factor_mean,R_factor_max,n_rows,csv
0101_0102_A1,inlf,101,102,A1,143.2812281496001,272693,1.3985124469137418,27.626661866813038,63.19312286376953,0.7572021488651107,0.8437240186004639,0.9610512709376591,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0101_0102_A1.csv
0101_0103_A2,inlf,101,103,A2,28.147658960188245,272693,0.727103602887496,26.616808854153234,60.696274030880886,0.7549872938400005,0.8403926981395962,0.9528146231281054,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0101_0103_A2.csv
0101_0105_A3,inlf,101,105,A3,118.87663318620308,272693,1.164565455935758,27.267098049836182,60.915219529284514,0.7564304005135851,0.8425378833060532,0.9535368842982987,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0101_0105_A3.csv
0102_0104_A4,inlf,102,104,A4,86.91893691036617,273508,0.7669706344604492,27.079509573068385,63.04590371415543,0.7551188078884097,0.8419190632173418,0.9605656218786448,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0102_0104_A4.csv
0102_0106_A5,inlf,102,106,A5,103.9594602938258,272693,1.0456899523900347,27.07024194552608,60.69135097011167,0.7560382519609805,0.8418884910084476,0.9527983828506938,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0102_0106_A5.csv
0103_0109_A6,inlf,103,109,A6,13.239731124173751,273508,0.5090417861938477,26.697096729430502,59.43066339615325,0.754267947774208,0.8406575531613842,0.9486396050313083,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0103_0109_A6.csv
0103_0124_A7,inlf,103,124,A7,327.58641699083194,270245,5.512555873624137,30.416637032604548,66.9321484500033,0.7707736259736465,0.8529276365910009,0.9733856327536637,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0103_0124_A7.csv
0104_0109_A8,inlf,104,109,A8,64.09111290617466,277498,0.03690700382077239,26.33519449094553,62.62193190863036,0.7527104614459115,0.8394637038419438,0.9591670164055012,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0104_0109_A8.csv
0105_0110_A9,inlf,105,110,A9,71.39555982451999,273508,0.6603727340698242,26.7357389181744,59.10209131783631,0.7547671609039426,0.840785026677234,0.9475557058166253,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0105_0110_A9.csv
0106_0110_10,inlf,106,110,10,526.641293678004,273508,9.163460338520395,36.47489230364478,77.14277409717033,0.7828172923212354,0.8729127131205242,1.0070686199906655,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0106_0110_10.csv
0107_0108_11,inlf,107,108,11,619.693889243741,280694,11.90764136480766,41.47409336217298,80.36222270892904,0.7918698438179307,0.8894041634261508,1.0176889923603192,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0107_0108_11.csv
0107_0203_B1,inlf,107,203,B1,511.102894368991,273483,8.123389245521878,35.26618372916089,72.10642653288232,0.7793862879379964,0.8689254045172664,0.9904546301539032,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0107_0203_B1.csv
0108_0109_1,inlf,108,109,1,131.62071737365886,280694,1.1619640380029068,27.079372833093807,60.48859977722168,0.7564218189114328,0.8419186121371655,0.9521295437336417,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0108_0109_1.csv
0108_0110_2,inlf,108,110,2,190.15717083375736,280694,2.1457748888110473,27.824414759824098,61.131338119506836,0.7596672310415492,0.844376369240037,0.9542498200152356,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0108_0110_2.csv
0109_0111_14,inlf,109,111,14,118.45223868921316,273502,0.3870454773335723,27.0481270316773,63.170623779296875,0.7538655042554367,0.841815537950853,0.9609770505714128,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0109_0111_14.csv
0109_0112_15,inlf,109,112,15,180.7800902293347,273502,1.691239736984926,27.89262789491582,64.07473095309251,0.7581678026767481,0.8446013919015355,0.9639595348430098,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0109_0112_15.csv
0110_0111_16,inlf,110,111,16,224.73552308706732,273502,2.9318197724837773,28.52487076061119,65.25606907693873,0.7622602494029466,0.846687045524711,0.9678565533336578,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0110_0111_16.csv
0110_0112_17,inlf,110,112,17,279.9039712242927,273502,2.6662847504184697,29.076462402750256,68.70898505036166,0.7613842979119932,0.8485066455065556,0.9792470918454201,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0110_0112_17.csv
0111_0113_18,inlf,111,113,18,121.00002439854904,277498,0.4910375580226969,27.076363196219404,61.194915771484375,0.7542085551171216,0.8419086838953582,0.9544595510654296,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0111_0113_18.csv
0111_0114_19,inlf,111,114,19,67.02552541010567,271871,-0.0324962645748883,26.165599027436055,60.5428040294355,0.7524815127522312,0.8389042394143718,0.9523083536517212,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0111_0114_19.csv
0112_0113_20,inlf,112,113,20,55.992156567249616,277498,0.028320501745497495,26.61982967557337,60.122161865234375,0.7526821361454054,0.8404026632771748,0.9509207320565585,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0112_0113_20.csv
0112_0123_21,inlf,112,123,21,207.68903353819977,269416,0.050235223513936944,26.578640390199727,64.71190307725192,0.7527544288059275,0.8402667873552204,0.966061449188659,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0112_0123_21.csv
0113_0123_22,inlf,113,123,22,202.0114664308888,270224,-0.24175167083740234,26.02473458159297,60.582910410812474,0.7517912174244058,0.8384395533612898,0.9524406572713742,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0113_0123_22.csv
0113_0215_B2,inlf,113,215,B2,75.11459911624034,273483,-0.10378476380367374,26.010948544511134,57.81969895608927,0.7522463450267026,0.8383940757454099,0.9433253278705356,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0113_0215_B2.csv
0114_0116_23,inlf,114,116,23,292.2181477216945,262163,1.9357080341450228,28.47788078021389,64.65399617149524,0.7589742588937949,0.8465320341703941,0.9658704248934848,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0114_0116_23.csv
0115_0116_24,inlf,115,116,24,77.5236586102293,256615,-4.262629508972168,21.46019989246054,54.061692710602074,0.7385270765594419,0.8233819879397668,0.9309283523298216,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0115_0116_24.csv
0115_0121_1,inlf,115,121,1,196.27061764946973,249642,1.5632778405222325,26.691958812393075,63.039421626526746,0.757745679775144,0.8406406041124251,0.9605442386566553,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0115_0121_1.csv
0115_0121_2,inlf,115,121,2,196.27061764946973,249642,1.5632778405222325,26.691958812393075,63.039421626526746,0.757745679775144,0.8406406041124251,0.9605442386566553,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0115_0121_2.csv
0115_0124_26,inlf,115,124,26,194.14264771467225,263770,1.0061048522537703,26.725171470550965,62.60449000310473,0.7559076679528365,0.8407501665995338,0.9591094787480148,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0115_0124_26.csv
0116_0117_27,inlf,116,117,27,265.2184574397241,253477,0.4859028099178886,26.16806365910748,60.58456897735596,0.7541916165218918,0.8389123697836559,0.9524461285791712,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0116_0117_27.csv
0116_0119_28,inlf,116,119,28,96.530495138804,256610,0.5378070861061133,26.61270078407839,57.98911810772552,0.7543628392395594,0.8403791463674833,0.9438842106774722,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0116_0119_28.csv
0117_0118_29,inlf,117,118,29,191.70071824400216,248877,-2.1108452800663144,23.179262806970353,57.693058479700994,0.745625419327412,0.8290528622044698,0.9429075640921665,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0117_0118_29.csv
0117_0122_30,inlf,117,122,30,89.95187403534524,244330,3.158951806933601,26.98820142382293,60.66802698733227,0.7630095164588405,0.8416178543265309,0.9527214412957469,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0117_0122_30.csv
0118_0121_1,inlf,118,121,1,53.06878136442098,245078,2.381733846680163,26.908072124578474,57.16704878251039,0.7604456165040078,0.8413535224180831,0.9411723542696493,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0118_0121_1.csv
0118_0121_2,inlf,118,121,2,53.06878136442098,245078,2.381733846680163,26.908072124578474,57.16704878251039,0.7604456165040078,0.8413535224180831,0.9411723542696493,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0118_0121_2.csv
0119_0120_1,inlf,119,120,1,63.179826410333334,257390,-1.0617795467828728,25.696420786261513,58.75282091349072,0.7490860953844923,0.8373565061749552,0.9464035266085766,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0119_0120_1.csv
0119_0120_2,inlf,119,120,2,63.179826410333334,257390,-1.0617795467828728,25.696420786261513,58.75282091349072,0.7490860953844923,0.8373565061749552,0.9464035266085766,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0119_0120_2.csv
0120_0123_1,inlf,120,123,1,138.95947552138838,259756,-1.7047257901363082,24.776813418390528,56.906305598749896,0.746965133275284,0.8343228895969499,0.9403122101771884,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0120_0123_1.csv
0120_0123_2,inlf,120,123,2,138.95947552138838,259756,-1.7047257901363082,24.776813418390528,56.906305598749896,0.746965133275284,0.8343228895969499,0.9403122101771884,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0120_0123_2.csv
0121_0122_34,inlf,121,122,34,83.02817877816317,240603,2.3637542724609375,25.626510891028506,61.813797617316595,0.7603863051758013,0.8371258862119633,0.9565011291268252,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0121_0122_34.csv
0121_0325_1,inlf,121,325,1,678.8061933831825,233264,14.408302589531559,41.60596172522593,83.18897651298175,0.8001190680111425,0.8898391730468306,1.0270139363543704,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0121_0325_1.csv
0123_0217_B3,inlf,123,217,B3,225.983911849903,263740,-0.5930724624981849,25.274791161051827,64.3742124382552,0.7506322743634694,0.8359656271264592,0.9649474695094082,17520,temperature_calculation/output/rts_gmlc_export_10_43_winter_v35/base_case/inlf/timeseries/0123_0217_B3.csv
