Contingency,Converged,BusNumber,Area,MachineID,BusName,GenStatus,Pg(MW),Qg(MVAr),PgMax(MW),PgMin(MW),QgMax(MVAr),QgMin(MVAr),Violation
LT_101-102_A1,True,101.0,1.0,1,ABEL        ,1.0,-9.9999863323319e-07,0.0,51.79999923706055,0.0,0.0,0.0,True
LT_101-102_A1,True,101.0,1.0,2,ABEL        ,1.0,-9.9999863323319e-07,0.0,53.40000534057617,0.0,0.0,0.0,True
LT_101-102_A1,True,101.0,1.0,3,ABEL        ,1.0,-9.9999863323319e-07,0.0,52.39999771118164,0.0,0.0,0.0,True
LT_101-102_A1,True,101.0,1.0,4,ABEL        ,1.0,-9.9999863323319e-07,0.0,51.599998474121094,0.0,0.0,0.0,True
LT_101-102_A1,True,101.0,1.0,5,ABEL        ,1.0,30.000001907348633,4.616097927093506,76.0,30.000001907348633,30.000001907348633,-25.0,False
LT_101-102_A1,True,101.0,1.0,6,ABEL        ,1.0,30.000001907348633,4.616097927093506,76.0,30.000001907348633,30.000001907348633,-25.0,False
LT_101-102_A1,True,102.0,1.0,1,ADAMS       ,1.0,-9.9999863323319e-07,0.0,51.20000076293945,0.0,0.0,0.0,True
LT_101-102_A1,True,102.0,1.0,2,ADAMS       ,1.0,-9.9999863323319e-07,0.0,50.599998474121094,0.0,0.0,0.0,True
LT_101-102_A1,True,102.0,1.0,3,ADAMS       ,1.0,30.000001907348633,3.94167160987854,76.0,30.000001907348633,30.000001907348633,-25.0,False
LT_101-102_A1,True,102.0,1.0,4,ADAMS       ,1.0,30.000001907348633,3.94167160987854,76.0,30.000001907348633,30.000001907348633,-25.0,False
LT_101-102_A1,True,107.0,1.0,1,ALDER       ,1.0,282.240234375,9.953006744384766,355.0,170.0,150.0,-25.0,False
LT_101-102_A1,True,113.0,1.0,1,ARNE        ,1.0,250.75271606445312,-12.025623321533203,55.0,22.0,19.0,-15.000000953674316,True
LT_101-102_A1,True,113.0,1.0,2,ARNE        ,1.0,250.75271606445312,-12.025623321533203,55.0,22.0,19.0,-15.000000953674316,True
LT_101-102_A1,True,113.0,1.0,3,ARNE        ,1.0,250.75271606445312,-12.025623321533203,55.0,22.0,19.0,-15.000000953674316,True
LT_101-102_A1,True,113.0,1.0,4,ARNE        ,1.0,250.75271606445312,-12.025623321533203,55.0,22.0,19.0,-15.000000953674316,True
LT_101-102_A1,True,113.0,1.0,5,ARNE        ,1.0,1.1397828529879916e-05,0.0,187.1999969482422,0.0,0.0,0.0,False
LT_101-102_A1,True,113.0,1.0,6,ARNE        ,1.0,0.0,-0.0,100.0,-100.0,100.0,0.0,False
LT_101-102_A1,True,114.0,1.0,1,ARNOLD      ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
LT_101-102_A1,True,115.0,1.0,1,ARTHUR      ,1.0,62.00000762939453,59.72443771362305,155.0,62.0,80.0,-50.0,False
LT_101-102_A1,True,116.0,1.0,1,ASSER       ,1.0,62.00000762939453,-0.5003934502601624,155.0,62.0,80.0,-50.0,False
LT_101-102_A1,True,118.0,1.0,1,ASTOR       ,1.0,170.0,-25.0,355.0,170.0,150.0,-25.0,False
