Contingency,Converged,FromBus#,ToBus#,CKT,Pij(MW),Qij(MVAr),Sij(MVA),Pji(MW),Qji(MVAr),Sji(MVA),RateA,Ploss(MW),Qloss(MVAr),Loading_%,Violation
LT_101-102_A1,True,101.0,103.0,A2,12.837118,3.762852,13.377243,-12.714654,-3.293035,13.134173,175.0,0.122464,0.469817,7.64,False
LT_101-102_A1,True,101.0,105.0,A3,-1.079073,-4.357721,4.489335,1.081936,4.368784,4.500762,175.0,0.002863,0.011063,2.57,False
LT_101-102_A1,True,102.0,104.0,A4,8.454018,8.871822,12.254781,-8.389703,-8.624307,12.031865,175.0,0.064315,0.247516,7.0,False
LT_101-102_A1,True,102.0,106.0,A5,8.21756,-9.922175,12.883239,-8.150676,10.17901,13.04016,175.0,0.066884,0.256835,7.36,False
LT_101-102_A1,True,103.0,109.0,A6,-45.813797,6.907372,46.331585,46.574332,-3.987899,46.744751,175.0,0.760535,2.919472,26.48,False
LT_101-102_A1,True,103.0,124.0,A7,-21.874813,-14.990062,26.518097,21.890727,15.658455,26.914516,400.0,0.015914,0.668393,6.63,False
LT_101-102_A1,True,104.0,109.0,A8,-24.664974,5.020924,25.17083,24.860385,-4.268229,25.224126,175.0,0.195411,0.752695,14.38,False
LT_101-102_A1,True,105.0,110.0,A9,-32.796558,-8.490616,33.877792,33.076053,9.559986,34.429909,175.0,0.279495,1.06937,19.36,False
LT_101-102_A1,True,106.0,110.0,10,-52.598457,-112.601837,124.281021,53.009366,114.392226,126.077652,175.0,0.410909,1.790389,71.02,False
LT_101-102_A1,True,107.0,108.0,11,77.78022,0.327776,77.780907,-76.737352,3.648159,76.824021,175.0,1.042868,3.975936,44.45,False
LT_101-102_A1,True,107.0,203.0,B1,148.62439,-1.541891,148.632401,-138.630923,39.850179,144.244825,175.0,9.993466,38.308289,84.93,False
LT_101-102_A1,True,108.0,109.0,1,0.06588,0.571908,0.575689,-0.062646,-0.5595,0.562996,175.0,0.003234,0.012408,0.33,False
LT_101-102_A1,True,108.0,110.0,2,0.288368,-18.295927,18.298201,-0.162661,18.77829,18.778994,175.0,0.125707,0.482363,10.46,False
LT_101-102_A1,True,109.0,111.0,14,-60.600082,1.201232,60.611988,60.682081,2.242721,60.723511,400.0,0.081999,3.443952,15.15,False
LT_101-102_A1,True,109.0,112.0,15,-88.941833,0.940617,88.946808,89.118418,6.475913,89.353398,400.0,0.176584,7.41653,22.24,False
LT_101-102_A1,True,110.0,111.0,16,-71.852715,40.156128,82.312378,71.99402,-34.221319,79.713471,400.0,0.141305,5.934809,20.58,False
LT_101-102_A1,True,110.0,112.0,17,-101.173576,40.154572,108.850739,101.420686,-29.775961,105.701293,400.0,0.24711,10.378611,27.21,False
LT_101-102_A1,True,111.0,113.0,18,-244.676285,39.573662,247.855927,248.799774,-6.585747,248.886921,500.0,4.123489,32.987915,49.57,False
