+------+------------------------------------+------------------+------------------+------------------+------------------+
|  #   |            Contingency             |  Bus Violations  | Line Violations  |  Gen Violations  |    Converged     |
+------+------------------------------------+------------------+------------------+------------------+------------------+
|  1   | LT_101-102_A1                      |        21        |        0         |        31        |       YES        |
|  2   | LT_101-103_A2                      |        20        |        0         |        31        |       YES        |
|  3   | LT_101-105_A3                      |        20        |        0         |        31        |       YES        |
|  4   | LT_102-104_A4                      |        22        |        0         |        31        |       YES        |
|  5   | LT_102-106_A5                      |        20        |        0         |        31        |       YES        |
|  6   | LT_103-109_A6                      |        21        |        0         |        31        |       YES        |
|  7   | LT_103-124_A7                      |        -         |        -         |        -         |        NO        |
|  8   | LT_104-109_A8                      |        20        |        0         |        31        |       YES        |
|  9   | LT_105-110_A9                      |        22        |        0         |        31        |       YES        |
|  10  | LT_106-110_10                      |        26        |        0         |        31        |       YES        |
|  11  | LT_107-108_11                      |        25        |        1         |        31        |       YES        |
|  12  | LT_107-203_B1                      |        21        |        1         |        31        |       YES        |
|  13  | LT_108-109_1                       |        20        |        0         |        31        |       YES        |
|  14  | LT_108-110_2                       |        22        |        0         |        31        |       YES        |
|  15  | LT_109-111_14                      |        -         |        -         |        -         |        NO        |
|  16  | LT_109-112_15                      |        -         |        -         |        -         |        NO        |
|  17  | LT_110-111_16                      |        -         |        -         |        -         |        NO        |
|  18  | LT_110-112_17                      |        -         |        -         |        -         |        NO        |
|  19  | LT_111-113_18                      |        21        |        0         |        31        |       YES        |
|  20  | LT_111-114_19                      |        21        |        0         |        31        |       YES        |
|  21  | LT_112-113_20                      |        20        |        0         |        31        |       YES        |
|  22  | LT_112-123_21                      |        21        |        0         |        31        |       YES        |
|  23  | LT_113-123_22                      |        21        |        0         |        31        |       YES        |
|  24  | LT_113-215_B2                      |        24        |        2         |        31        |       YES        |
|  25  | LT_114-116_23                      |        21        |        0         |        31        |       YES        |
|  26  | LT_115-116_24                      |        20        |        0         |        31        |       YES        |
|  27  | LT_115-121_1                       |        20        |        0         |        31        |       YES        |
|  28  | LT_115-121_2                       |        20        |        0         |        31        |       YES        |
|  29  | LT_115-124_26                      |        23        |        0         |        31        |       YES        |
|  30  | LT_116-117_27                      |        21        |        0         |        31        |       YES        |
|  31  | LT_116-119_28                      |        22        |        0         |        31        |       YES        |
|  32  | LT_117-118_29                      |        20        |        0         |        31        |       YES        |
|  33  | LT_117-122_30                      |        21        |        0         |        31        |       YES        |
|  34  | LT_118-121_1                       |        20        |        0         |        31        |       YES        |
|  35  | LT_118-121_2                       |        20        |        0         |        31        |       YES        |
|  36  | LT_119-120_1                       |        21        |        0         |        31        |       YES        |
|  37  | LT_119-120_2                       |        21        |        0         |        31        |       YES        |
|  38  | LT_120-123_1                       |        21        |        0         |        31        |       YES        |
|  39  | LT_120-123_2                       |        21        |        0         |        31        |       YES        |
|  40  | LT_121-122_34                      |        20        |        0         |        31        |       YES        |
|  41  | LT_121-325_1                       |        44        |        25        |        33        |       YES        |
|  42  | LT_123-217_B3                      |        22        |        0         |        31        |       YES        |
|  43  | LT_201-202_B1                      |        20        |        0         |        31        |       YES        |
|  44  | LT_201-203_B2                      |        22        |        0         |        31        |       YES        |
|  45  | LT_201-205_B3                      |        20        |        0         |        31        |       YES        |
|  46  | LT_202-204_B4                      |        22        |        0         |        31        |       YES        |
|  47  | LT_202-206_B5                      |        20        |        0         |        31        |       YES        |
|  48  | LT_203-209_B6                      |        20        |        0         |        31        |       YES        |
|  49  | LT_203-224_B7                      |        -         |        -         |        -         |        NO        |
|  50  | LT_204-209_B8                      |        20        |        0         |        31        |       YES        |
|  51  | LT_205-210_B9                      |        22        |        0         |        31        |       YES        |
|  52  | LT_206-210_10                      |        27        |        0         |        31        |       YES        |
|  53  | LT_207-208_11                      |        -         |        -         |        -         |        NO        |
|  54  | LT_208-209_1                       |        23        |        0         |        31        |       YES        |
|  55  | LT_208-210_2                       |        22        |        0         |        31        |       YES        |
|  56  | LT_209-211_14                      |        -         |        -         |        -         |        NO        |
|  57  | LT_209-212_15                      |        -         |        -         |        -         |        NO        |
|  58  | LT_210-211_16                      |        -         |        -         |        -         |        NO        |
|  59  | LT_210-212_17                      |        -         |        -         |        -         |        NO        |
|  60  | LT_211-213_18                      |        21        |        0         |        31        |       YES        |
|  61  | LT_211-214_19                      |        22        |        0         |        31        |       YES        |
|  62  | LT_212-213_20                      |        21        |        0         |        31        |       YES        |
|  63  | LT_212-223_21                      |        22        |        0         |        31        |       YES        |
|  64  | LT_213-223_22                      |        20        |        0         |        31        |       YES        |
|  65  | LT_214-216_23                      |        25        |        0         |        31        |       YES        |
|  66  | LT_215-216_24                      |        20        |        0         |        31        |       YES        |
|  67  | LT_215-221_1                       |        20        |        0         |        31        |       YES        |
|  68  | LT_215-221_2                       |        20        |        0         |        31        |       YES        |
|  69  | LT_215-224_26                      |        21        |        1         |        31        |       YES        |
|  70  | LT_216-217_27                      |        23        |        0         |        31        |       YES        |
|  71  | LT_216-219_28                      |        26        |        1         |        31        |       YES        |
|  72  | LT_217-218_29                      |        21        |        0         |        31        |       YES        |
|  73  | LT_217-222_30                      |        21        |        0         |        31        |       YES        |
|  74  | LT_218-221_1                       |        20        |        0         |        31        |       YES        |
|  75  | LT_218-221_2                       |        20        |        0         |        31        |       YES        |
|  76  | LT_219-220_1                       |        21        |        0         |        31        |       YES        |
|  77  | LT_219-220_2                       |        21        |        0         |        31        |       YES        |
|  78  | LT_220-223_1                       |        21        |        0         |        31        |       YES        |
|  79  | LT_220-223_2                       |        21        |        0         |        31        |       YES        |
|  80  | LT_221-222_34                      |        21        |        0         |        31        |       YES        |
|  81  | LT_223-318_1                       |        42        |        24        |        32        |       YES        |
|  82  | LT_301-302_C1                      |        22        |        0         |        31        |       YES        |
|  83  | LT_301-303_C2                      |        22        |        0         |        31        |       YES        |
