Bus#,Name,Type,Area,Zone,Volt(kV),Volt(pu),Angle(deg),Angle(rad),VoltMin,VoltMax
101,ABEL        ,2,1,11,132.63851928710938,0.9611486792564392,-12.698970794677734,-0.2216387838125229,0.949999988079071,1.0499999523162842
102,ADAMS       ,2,1,12,132.84889221191406,0.9626731276512146,-12.667411804199219,-0.2210879623889923,0.949999988079071,1.0499999523162842
103,ADLER       ,1,1,11,129.72706604003906,0.9400511980056763,-14.502279281616211,-0.25311243534088135,0.949999988079071,1.0499999523162842
104,AGRICOLA    ,1,1,11,130.54660034179688,0.9459899067878723,-12.891264915466309,-0.2249949425458908,0.949999988079071,1.0499999523162842
105,AIKEN       ,1,1,11,133.0792694091797,0.9643425345420837,-12.88074016571045,-0.22481124103069305,0.949999988079071,1.0499999523162842
106,ALBER       ,1,1,12,134.3561553955078,0.9735953211784363,-13.502416610717773,-0.2356615513563156,0.949999988079071,1.0499999523162842
107,ALDER       ,2,1,12,132.96527099609375,0.9635164141654968,-8.036273956298828,-0.14025940001010895,0.949999988079071,1.0499999523162842
108,ALGER       ,1,1,12,131.2600555419922,0.9511598348617554,-10.991423606872559,-0.19183646142482758,0.949999988079071,1.0499999523162842
109,ALI         ,1,1,13,130.6351776123047,0.946631669998169,-10.945813179016113,-0.19104041159152985,0.949999988079071,1.0499999523162842
110,ALLEN       ,1,1,13,135.13502502441406,0.979239284992218,-11.429296493530273,-0.19947879016399384,0.949999988079071,1.0499999523162842
111,ANNA        ,1,1,13,218.11863708496094,0.9483419060707092,-7.6618475914001465,-0.1337244212627411,0.949999988079071,1.0499999523162842
112,ARCHER      ,1,1,13,218.71153259277344,0.9509196877479553,-6.15541934967041,-0.1074322983622551,0.949999988079071,1.0499999523162842
113,ARNE        ,3,1,14,218.5,0.949999988079071,1.4672310995357354e-21,2.5608004283006296e-23,0.949999988079071,1.0499999523162842
114,ARNOLD      ,2,1,16,217.43580627441406,0.9453730583190918,-10.671228408813477,-0.18624800443649292,0.949999988079071,1.0499999523162842
115,ARTHUR      ,2,1,16,221.17630004882812,0.9616360664367676,-12.74323558807373,-0.22241133451461792,0.949999988079071,1.0499999523162842
116,ASSER       ,2,1,16,219.94105529785156,0.9562654495239258,-11.640396118164062,-0.20316316187381744,0.949999988079071,1.0499999523162842
117,ASTON       ,1,1,17,220.69366455078125,0.95953768491745,-12.132880210876465,-0.21175862848758698,0.949999988079071,1.0499999523162842
118,ASTOR       ,2,1,17,220.31346130371094,0.9578846096992493,-12.326371192932129,-0.21513569355010986,0.949999988079071,1.0499999523162842
119,ATTAR       ,1,1,15,218.52511596679688,0.9501091837882996,-10.316510200500488,-0.18005700409412384,0.949999988079071,1.0499999523162842
120,ATTILA      ,1,1,15,218.29896545410156,0.9491259455680847,-8.14214038848877,-0.14210711419582367,0.949999988079071,1.0499999523162842
121,ATTLEE      ,2,1,17,221.58763122558594,0.9634245038032532,-12.72866153717041,-0.22215697169303894,0.949999988079071,1.0499999523162842
122,AUBREY      ,2,1,17,222.9025115966797,0.9691413640975952,-12.552526473999023,-0.21908284723758698,0.949999988079071,1.0499999523162842
123,AUSTEN      ,2,1,15,218.60459899902344,0.9504547715187073,-6.545505523681641,-0.11424058675765991,0.949999988079071,1.0499999523162842
124,AVERY       ,1,1,16,219.45606994628906,0.9541568160057068,-13.384660720825195,-0.23360632359981537,0.949999988079071,1.0499999523162842
201,BACH        ,2,2,21,131.96511840820312,0.9562689661979675,-32.305545806884766,-0.5638379454612732,0.949999988079071,1.0499999523162842
202,BACON       ,2,2,22,132.103759765625,0.9572736024856567,-32.44755935668945,-0.566316545009613,0.949999988079071,1.0499999523162842
203,BAFFIN      ,1,2,21,128.55226135253906,0.9315381646156311,-23.487422943115234,-0.4099327325820923,0.949999988079071,1.0499999523162842
204,BAILEY      ,1,2,21,129.2880096435547,0.9368696212768555,-32.72832107543945,-0.5712167620658875,0.949999988079071,1.0499999523162842
205,BAIN        ,1,2,21,132.31658935546875,0.9588158130645752,-33.68585205078125,-0.587928831577301,0.949999988079071,1.0499999523162842
206,BAJER       ,1,2,22,133.43344116210938,0.9669089913368225,-35.041709899902344,-0.6115930080413818,0.949999988079071,1.0499999523162842
207,BAKER       ,2,2,22,131.09999084472656,0.949999988079071,-38.42373275756836,-0.6706204414367676,0.949999988079071,1.0499999523162842
208,BALCH       ,1,2,22,129.35687255859375,0.937368631362915,-37.485626220703125,-0.6542474031448364,0.949999988079071,1.0499999523162842
209,BALZAC      ,1,2,23,129.23629760742188,0.9364948868751526,-30.57300567626953,-0.5335994362831116,0.949999988079071,1.0499999523162842
210,BANKS       ,1,2,23,134.47073364257812,0.9744256138801575,-33.27130126953125,-0.5806935429573059,0.949999988079071,1.0499999523162842
211,BARDEEN     ,1,2,23,217.97605895996094,0.9477220177650452,-27.804506301879883,-0.48528000712394714,0.949999988079071,1.0499999523162842
212,BARKLA      ,1,2,23,218.6818084716797,0.9507904648780823,-28.2655086517334,-0.49332600831985474,0.949999988079071,1.0499999523162842
